BASE_YY,CLASS_NM,SIDO_NM,유_특수1정_CNT1,유_특수2정_CNT1,유_일반_CNT1,초_특수1정_CNT1,초_특수2정_CNT1,초_일반_CNT1,중고_특수1정_CNT1,중고_특수2정_CNT1,중고_일반_CNT1
2015,특수학급,전남,8,20,0,144,108,5,89,120,9
2015,특수학급,경북,3,5,1,199,118,0,98,137,10
2015,특수학급,경남,7,20,1,197,118,64,125,186,1
2015,특수학급,제주,2,2,0,50,10,0,43,7,0
2016,특수학급,서울,24,35,0,511,166,0,338,198,0
2016,특수학급,부산,4,16,0,249,70,0,149,65,0
2016,특수학급,대구,1,19,0,181,47,0,77,87,0
2016,특수학급,인천,14,42,0,202,100,0,124,93,0
2016,특수학급,광주,5,8,0,98,36,0,76,42,0
2016,특수학급,대전,13,26,0,87,71,0,61,60,0
2016,특수학급,울산,4,13,0,58,60,0,33,65,0
2016,특수학급,세종,3,14,0,21,13,0,15,18,0
2016,특수학급,경기,41,157,0,531,677,0,371,1095,0
2016,특수학급,강원,5,9,6,161,43,6,105,32,2
2016,특수학급,충북,8,28,1,106,100,0,82,82,1
2016,특수학급,충남,21,26,5,200,91,1,115,141,3
2016,특수학급,전북,4,12,1,130,93,1,68,61,1
2016,특수학급,전남,8,23,0,143,114,0,98,122,5
2016,특수학급,경북,5,5,0,175,144,1,103,133,0
2016,특수학급,경남,7,29,0,187,146,52,122,193,0
2016,특수학급,제주,2,2,0,48,11,0,46,5,0
2017,특수학급,서울,27,36,0,491,193,0,337,194,0
2017,특수학급,부산,6,19,0,261,58,0,149,66,0
2017,특수학급,대구,2,25,0,178,56,0,72,97,0
2017,특수학급,인천,19,43,0,208,102,0,129,98,0
2017,특수학급,광주,6,8,0,107,29,0,81,41,0
2017,특수학급,대전,10,31,0,90,70,0,67,55,0
2017,특수학급,울산,3,17,0,61,63,0,45,57,0
2017,특수학급,세종,5,14,0,21,14,0,18,16,0
2017,특수학급,경기,42,192,1,564,700,0,382,1095,1
2017,특수학급,강원,9,12,4,162,42,27,116,27,6
2017,특수학급,충북,10,27,0,110,101,0,92,76,0
2017,특수학급,충남,22,35,1,195,113,0,139,125,0
2017,특수학급,전북,8,10,0,137,88,0,73,58,0
2017,특수학급,전남,9,29,0,146,119,0,96,130,3
2017,특수학급,경북,6,9,0,200,123,2,113,120,1
2017,특수학급,경남,10,31,0,192,128,75,120,199,1
2017,특수학급,제주,2,2,0,47,13,0,43,6,0
2018,특수학급,서울,29,44,0,498,199,0,356,183,0
2018,특수학급,부산,6,21,0,259,64,0,155,61,0
2018,특수학급,대구,6,22,0,182,56,0,98,73,0
2018,특수학급,인천,25,43,0,207,116,0,146,82,0
2018,특수학급,광주,5,10,0,111,29,0,83,35,0
2018,특수학급,대전,14,31,0,101,64,0,81,67,0
2018,특수학급,울산,4,18,2,70,61,0,67,34,0
2018,특수학급,세종,4,18,0,24,20,0,20,14,0
2018,특수학급,경기,52,227,8,587,741,0,402,1074,1
2018,특수학급,강원,10,13,5,169,44,1,116,23,1
2018,특수학급,충북,13,27,2,116,105,1,101,73,0
2018,특수학급,충남,27,43,4,199,135,39,146,133,1
2018,특수학급,전북,11,10,1,129,108,0,85,58,0
2018,특수학급,전남,10,28,2,150,127,0,100,135,1
2018,특수학급,경북,7,7,1,200,139,1,133,103,0
2018,특수학급,경남,11,32,1,205,206,0,136,187,0
2018,특수학급,제주,2,3,0,39,25,0,39,9,0
2019,특수학급,서울,30,54,0,509,220,0,347,198,0
2019,특수학급,부산,10,16,2,259,78,0,174,43,2
2019,특수학급,대구,7,26,1,191,55,0,116,58,0
2019,특수학급,인천,26,44,0,212,133,0,160,75,0
2019,특수학급,광주,8,8,0,113,34,0,92,24,0
2019,특수학급,대전,14,34,0,106,65,0,91,61,0
2019,특수학급,울산,6,21,0,83,52,0,75,27,0
2019,특수학급,세종,5,20,0,28,22,0,28,9,0
2019,특수학급,경기,75,238,3,646,778,0,606,854,0
2019,특수학급,강원,15,13,1,175,43,1,119,18,0
2019,특수학급,충북,13,36,2,119,114,2,114,67,0
2019,특수학급,충남,29,42,1,206,139,0,171,104,0
2019,특수학급,전북,9,19,0,152,95,0,103,43,0
2019,특수학급,전남,11,33,0,155,157,0,117,107,1
2019,특수학급,경북,9,9,1,219,140,1,143,95,0
2019,특수학급,경남,11,42,1,217,226,0,173,149,0
2019,특수학급,제주,5,2,0,35,39,0,46,4,0
2020,특수학급,서울,29,80,0,502,259,0,370,186,0
2020,특수학급,부산,19,17,1,260,86,0,195,29,2
2020,특수학급,대구,15,19,2,202,51,0,136,54,0
2020,특수학급,인천,29,49,0,230,138,0,155,91,0
2020,특수학급,광주,8,10,0,122,35,0,93,34,0
2020,특수학급,대전,23,28,0,114,59,0,103,65,0
2020,특수학급,울산,6,24,1,89,55,0,93,21,0
2020,특수학급,세종,10,19,0,35,21,0,29,8,0
2020,특수학급,경기,108,235,14,732,807,1,674,798,0
2020,특수학급,강원,15,11,5,175,44,1,124,14,0
2020,특수학급,충북,30,22,2,155,96,0,127,53,0
2020,특수학급,충남,30,46,7,212,157,3,204,68,1
2020,특수학급,전북,14,22,0,179,75,0,108,41,0
2020,특수학급,전남,22,21,1,199,138,0,120,102,2
2020,특수학급,경북,15,9,3,264,108,1,162,87,0
2020,특수학급,경남,11,49,1,249,224,0,191,154,0
2020,특수학급,제주,3,6,0,46,31,0,48,4,0
2021,특수학급,서울,37,86,1,555,240,0,387,180,0
2021,특수학급,부산,19,17,6,275,81,0,200,26,1
2021,특수학급,대구,24,23,28,211,59,0,139,51,0
2021,특수학급,인천,55,39,0,261,146,0,170,80,1
2021,특수학급,광주,12,9,0,135,34,0,96,30,0
2021,특수학급,대전,30,24,0,137,45,0,124,49,0
2021,특수학급,울산,10,27,0,93,67,0,88,27,0
2021,특수학급,세종,20,10,2,35,23,0,28,11,0
2021,특수학급,경기,146,239,12,961,711,4,851,629,0
2021,특수학급,강원,14,11,6,178,47,11,123,15,1
2021,특수학급,충북,33,30,1,178,80,3,133,51,0
2021,특수학급,충남,45,35,7,245,147,1,227,54,0
2021,특수학급,전북,11,35,5,181,78,0,121,31,0
2021,특수학급,전남,25,21,0,212,139,0,143,85,1
2021,특수학급,경북,15,11,5,273,111,1,190,65,0
2021,특수학급,경남,25,48,2,292,210,0,244,104,0
2021,특수학급,제주,2,10,0,47,38,0,53,5,0
